,property_class,property_status,address,neighborhood,location,latitude_pinpoint,longitude_pinpoint,year_of_acquisition,latitude_street,longitude_street,frontview_heading,panoids_years
573,Residential Improved,Disposed,"3900 BENTON BLVD,Kansas City, MO 64130",Oak Park Southwest,"3900 BENTON BLVD,Kansas City, MO 64130,(39.055066, -94.546735),geocode,(39.0550902, -94.5471518)",39.0550902,-94.5471518,2015,39.055066,-94.546735,90,"{2007: 'FUM9h1iY8Y3Sm7BcXF3Rvw', 2011: 'AC5fHGB71cgBPsXMXfg_Fg', 2014: 'BbSGgG6yWx0IXwGXuKqmqQ', 2017: '5taDHzA1a_5R7RWm31inxg', 2019: 'o521aNc5u3XXq7tu075vNg'}"
574,Residential Improved,Disposed,"1617 LISTER AVE,KANSAS CITY, MO 64127",East Community Team North,"1617 LISTER AVE,KANSAS CITY, MO 64127,(39.091703, -94.526836),geocode,(39.0916783, -94.5265996)",39.0916783,-94.5265996,2016,39.091703,-94.526836,90,"{2007: 'oYg5SICvnU5X4EzRuhJqYA', 2008: 'XJr4kZsm0Rwty-8eQ78pTQ', 2011: 'qjtRuX4bbLGGBj_7fv1cAg', 2014: 'uXDLr-aXt763HT6VYcZ8sg', 2019: 'Q85-BXKQSGvP1KlHoE3vtA'}"
575,Residential Improved,Disposed,"3417 CHESTNUT AVE,KANSAS CITY, MO 64128",Oak Park Northwest,"3417 CHESTNUT AVE,KANSAS CITY, MO 64128,(39.06373, -94.550843),geocode,(39.0637295, -94.55061649999999)",39.0637295,-94.5506165,2013,39.06373,-94.550843,90,"{2007: 'GVpqqF7H75sbz4Yy0Crsyg', 2011: 'upMRVC9DjmI5df2yySUa6w', 2019: '6k2ql2nml1aNYRytmSIszQ'}"
576,Residential Improved,Disposed,"3019 E 51ST ST,Kansas City, MO 64130.0",North Town Fork Creek,"3019 E 51ST ST,Kansas City, MO 64130.0,(39.033546, -94.549242),geocode,(39.0333508, -94.54928699999999)",39.0333508,-94.549287,2015,39.033546,-94.549242,180,"{2007: 'IbNwYdwZc1fYRKaWj_UU3A', 2011: 'RiWETOoik4oBCp8GhO1RKg', 2014: 'tSVayV575BN5LKMHXHobEA', 2019: 'Yl8GVkgxOl96S-Bm3agoWw'}"
577,Residential Improved,Disposed,"3326 Cypress Ave,Kansas City, MO 64128",Knoches Park,"3326 Cypress Ave,Kansas City, MO 64128,(39.064599, -94.531201),geocode,(39.064595, -94.5314827)",39.064595,-94.5314827,2013,39.064599,-94.531201,90,"{2007: 'fCFXLUjnmAKaq6gl8T3Nyw', 2011: 'Ru3tk9CGicXJebCk090hOw', 2014: 'yqKz3KVCJOEAtY0aePO_gQ', 2019: 'pB7BAlxFjEsKNpmgC3hvGA'}"
578,Residential Improved,Disposed,"3603 BENTON BLVD,KANSAS CITY, MO 64128",Oak Park Northwest,"3603 BENTON BLVD,KANSAS CITY, MO 64128,(39.060425, -94.546449),geocode,(39.0604103, -94.5461447)",39.0604103,-94.5461447,2016,39.060425,-94.546449,90,"{2007: 'RVfh9n1wnFJZa6ZbGhPN6Q', 2011: 'nsOk_9qPQWje8o1gcVagvw', 2014: 'UuVwN4f69Oq3ySS8ZVLOkA', 2019: 'Mc1rksN6FoDq-o3A-q4g8w'}"
579,Residential Improved,Disposed,"1613  LAWN AVE,Kansas City, MO 64127",East Community Team North,"1613  LAWN AVE,Kansas City, MO 64127,(39.091913, -94.527902),geocode,(39.0918708, -94.5276568)",39.0918708,-94.5276568,2014,39.091913,-94.527902,90,"{2007: '8mjwptHNWlBOBFWt0VESrw', 2011: 'm57iIyAbIEH0DLoqKJL5zA', 2014: 'aeNxrIKfyPuieDxc04y5xw', 2019: 'Kp1MkNRYBjLYHOiyxga_BQ'}"
580,Residential Improved,Disposed,"2116  MONROE AVE,Kansas City, MO 64127",East Community Team North,"2116  MONROE AVE,Kansas City, MO 64127,(39.085523, -94.53941),geocode,(39.0855176, -94.5396591)",39.0855176,-94.5396591,2014,39.085523,-94.53941,90,"{2007: 'R5kHRKSvqccdj6ppbm2yYw', 2011: 'ISPlWHBT5wuoihrWPu51aQ', 2013: 'XVRcf-VkVbkdoKu9U3qrkQ', 2014: 'moJ5Xe8qXlS9LUFvK3174A', 2019: 'N37ywPNX65epm8Sz8TyfPw', 2021: '6JG6TjKwera9axZQ4mStHQ'}"
581,Residential Improved,Disposed,"5422 Norledge Ave,KANSAS CITY, MO 64123",North Indian Mound,"5422 Norledge Ave,KANSAS CITY, MO 64123,(39.116035, -94.517557),geocode,(39.1162125, -94.5175495)",39.1162125,-94.5175495,2019,39.116035,-94.517557,0,"{2007: 'EH7kWhc4w9bf53obnhRfrA', 2011: 'T05WxHMHBMMImHKMCT3YzA', 2014: 'AXkqfbZrrEw-z-9EJ6kpmA', 2019: 'Z-cC6bPGxD6UwiEczByQWQ'}"
582,Residential Improved,Disposed,"5225 E 29TH ST,KANSAS CITY, MO 64128",East Community Team South,"5225 E 29TH ST,KANSAS CITY, MO 64128,(39.072493, -94.521774),geocode,(39.072321, -94.5218177)",39.072321,-94.5218177,2013,39.072493,-94.521774,180,"{2008: 'BEM_E4BS3qI7GSRp0qPB-A', 2011: 'XV6XVK6VtsBshSK9hM8Kyw', 2014: 'eRpKZJcnp5r28mOrzONXnQ', 2015: 'E2DEGSttFZ6-g2jTkH4bIg', 2019: 'iSN7LUmplp2kZUD0Jpf49Q'}"
